Nom du médicament,Code produit,Effets secondaires
Glimepiride,N/A,"['6 ADVERSE REACTIONS The following serious adverse reactions are discussed in more detail below and elsewhere in the labeling: Hypoglycemia [see Warnings and Precautions (5.1) ] Hemolytic anemia [see Warnings and Precautions (5.3) ] In clinical trials, the most common adverse reactions with glimepiride were hypoglycemia, dizziness, asthenia, headache, and nausea. Common adverse reactions in clinical trials (≥5% and more common than with placebo) include hypoglycemia, headache, nausea, and dizziness ( 6.1 ). To report SUSPECTED ADVERSE REACTIONS, contact Dr. Reddy’s Laboratories, Inc. at 1-888-375-3784 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch . 6.1 Clinical Trials Experience Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in practice. Approximately 2,800 patients with type 2 diabetes have been treated with glimepiride in the controlled clinical trials. In these trials, approximately 1,700 patients were treated with glimepiride for at least 1 year. Table 1 summarizes adverse events, other than hypoglycemia, that were reported in 11 pooled placebo-controlled trials, whether or not considered to be possibly or probably related to study medication. Treatment duration ranged from 13 weeks to 12 months. Terms that are reported represent those that occurred at an incidence of ≥5% among glimepiride-treated patients and more commonly than in patients who received placebo. Table 1. Eleven Pooled Placebo-Controlled Trials ranging from 13 weeks to 12 months: Adverse Events (excluding hypoglycemia) Occurring in ≥5% of glimepiride-treated Patients and at a Greater Incidence than with Placebo Glimepiride doses ranged from 1 to 16 mg administered daily Glimepiride N=745 % Placebo N=294 % Headache 8.2 7.8 Accidental Injury Insufficient information to determine whether any of the accidental injury events were associated with hypoglycemia 5.8 3.4 Flu Syndrome 5.4 4.4 Nausea 5 3.4 Dizziness 5 2.4 Hypoglycemia In a randomized, double-blind, placebo-controlled monotherapy trial of 14 weeks duration, patients already on sulfonylurea therapy underwent a 3-week washout period then were randomized to glimepiride tablets 1 mg, 4 mg, 8 mg or placebo. Patients randomized to glimepiride tablets 4 mg or 8 mg underwent forced-titration from an initial dose of 1 mg to these final doses, as tolerated [see Clinical Studies (14.1) ]. The overall incidence of possible hypoglycemia (defined by the presence of at least one symptom that the investigator believed might be related to hypoglycemia; a concurrent glucose measurement was not required) was 4% for glimepiride tablets 1 mg, 17% for glimepiride tablets 4 mg, 16% for glimepiride tablets 8 mg and 0% for placebo. All of these events were self-treated. In a randomized, double-blind, placebo-controlled monotherapy trial of 22 weeks duration, patients received a starting dose of either 1 mg glimepiride tablets or placebo daily. The dose of glimepiride tablets was titrated to a target fasting plasma glucose of 90 to 150 mg/dL. Final daily doses of glimepiride tablets were 1, 2, 3, 4, 6 or 8 mg [see Clinical Studies (14.1) ]. The overall incidence of possible hypoglycemia (as defined above for the 14-week trial) for glimepiride vs. placebo was 19.7% vs. 3.2%. All of these events were self-treated. Weight gain Glimepiride, like all sulfonylureas, can cause weight gain [see Clinical Studies (14.1) ]. Allergic Reactions In clinical trials, allergic reactions, such as pruritus, erythema, urticaria, and morbilliform or maculopapular eruptions, occurred in less than 1% of glimepiride-treated patients. These may resolve despite continued treatment with glimepiride. There are postmarketing reports of more serious allergic reactions (e.g., dyspnea, hypotension, shock) [see Warnings and Precautions (5.2) ]. Laboratory Tests Elevated Serum Alanine Aminotransferase (ALT) In 11 pooled placebo-controlled trials of glimepiride, 1.9% of glimepiride-treated patients and 0.8% of placebo-treated patients developed serum ALT greater than 2 times the upper limit of the reference range. 6.2 Postmarketing Experience The following adverse reactions have been identified during postapproval use of glimepiride. Because these reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. Serious hypersensitivity reactions, including anaphylaxis, angioedema, and Stevens-Johnson Syndrome [see Warnings and Precautions (5.2) ] Hemolytic anemia in patients with and without G6PD deficiency [see Warnings and Precautions (5.3) ] Impairment of liver function (e.g., with cholestasis and jaundice), as well as hepatitis, which may progress to liver failure. Porphyria cutanea tarda, photosensitivity reactions and allergic vasculitis Leukopenia, agranulocytosis, aplastic anemia, and pancytopenia Thrombocytopenia (including severe cases with platelet count less than 10,000/μL) and thrombocytopenic purpura Hepatic porphyria reactions and disulfiram-like reactions Hyponatremia and syndrome of inappropriate antidiuretic hormone secretion (SIADH), most often in patients who are on other medications or who have medical conditions known to cause hyponatremia or increase release of antidiuretic hormone Dysgeusia Alopecia']"
N/A,N/A,"['ADVERSE REACTIONS The majority of side effects observed in clinical trials were of a mild and transient nature. Fewer than 3% of adult patients without mycobacterial infections and fewer than 2% of pediatric patients without mycobacterial infections discontinued therapy because of drug-related side effects. The most frequently reported events in adults taking clarithromycin tablets, USP were diarrhea (3%), nausea (3%), abnormal taste (3%), dyspepsia (2%), abdominal pain/discomfort (2%), and headache (2%). In pediatric patients, the most frequently reported events were diarrhea (6%), vomiting (6%), abdominal pain (3%), rash (3%), and headache (2%). Most of these events were described as mild or moderate in severity. Of the reported adverse events, only 1% was described as severe. In the acute exacerbation of chronic bronchitis and acute maxillary sinusitis studies overall gastrointestinal adverse events were reported by a similar proportion of patients taking either clarithromycin tablets or clarithromycin extended-release tablets; however, patients taking clarithromycin extended-release tablets reported significantly less severe gastrointestinal symptoms compared to patients taking clarithromycin tablets. In addition, patients taking clarithromycin extended-release tablets had significantly fewer premature discontinuations for drug-related gastrointestinal or abnormal taste adverse events compared to clarithromycin tablets. In community-acquired pneumonia studies conducted in adults comparing clarithromycin to erythromycin base or erythromycin stearate, there were fewer adverse events involving the digestive system in clarithromycin-treated patients compared to erythromycin-treated patients (13% vs 32%; p<0.01). Twenty percent of erythromycin-treated patients discontinued therapy due to adverse events compared to 4% of clarithromycin-treated patients. In two U.S. studies of acute otitis media comparing clarithromycin to amoxicillin/potassium clavulanate in pediatric patients, there were fewer adverse events involving the digestive system in clarithromycin-treated patients compared to amoxicillin/potassium clavulanate-treated patients (21% vs 40%, p<0.001). One-third as many clarithromycin-treated patients reported diarrhea as did amoxicillin/potassium clavulanate-treated patients. Post-Marketing Experience Allergic reactions ranging from urticaria and mild skin eruptions to rare cases of anaphylaxis, Stevens-Johnson syndrome, drug rash with eosinophilia and systemic symptoms (DRESS), Henoch-Schonlein Purpura and toxic epidermal necrolysis have occurred. Other spontaneously reported adverse events include glossitis, stomatitis, oral moniliasis, anorexia, vomiting, pancreatitis, tongue discoloration, thrombocytopenia, leukopenia, neutropenia, dizziness, myalgia and hemorrhage. There have been reports of tooth discoloration in patients treated with clarithromycin. Tooth discoloration is usually reversible with professional dental cleaning. There have been isolated reports of hearing loss, which is usually reversible, occurring chiefly in elderly women. Reports of alterations of the sense of smell including smell loss, usually in conjunction with taste perversion or taste loss, have also been reported. Transient CNS events including anxiety, behavioral changes, confusional states, convulsions, depersonalization, disorientation, hallucinations, insomnia, depression, manic behavior, nightmares, psychosis, tinnitus, tremor, and vertigo have been reported during post-marketing surveillance. Events usually resolve with discontinuation of the drug. Adverse reactions related to hepatic dysfunction have been reported in postmarketing experience with clarithromycin. (See WARNINGS: Hepatotoxicity .) There have been rare reports of hypoglycemia, some of which have occurred in patients taking oral hypoglycemic agents or insulin. There have been post-marketing reports of clarithromycin tablets in the stool, many of which have occurred in patients with anatomic (including ileostomy or colostomy) or functional gastrointestinal disorders with shortened GI transit times. As with other macrolides, clarithromycin has been associated with QT prolongation and ventricular arrhythmias, including ventricular tachycardia and torsades de pointes. There have been reports of interstitial nephritis coincident with clarithromycin use. There have been post-marketing reports of colchicine toxicity with concomitant use of clarithromycin and colchicine, especially in the elderly, some of which occurred in patients with renal insufficiency. Deaths have been reported in some such patients. (See WARNINGS and PRECAUTIONS .) There have been cases of rhabdomyolysis reported with clarithromycin use. In some cases, clarithromycin was administered concomitantly with other drugs known to be associated with rhabdomyolysis (such as statins, fibrates, colchicine or allopurinol). Changes in Laboratory Values Changes in laboratory values with possible clinical significance were as follows: Hepatic – elevated SGPT (ALT) <1%; SGOT (AST) <1%; GGT <1%; alkaline phosphatase <1%; LDH <1%; total bilirubin <1% Hematologic – decreased WBC <1%; elevated prothrombin time 1% Renal – elevated BUN 4%; elevated serum creatinine <1% GGT, alkaline phosphatase, and prothrombin time data are from adult studies only.']"
Methocarbamol,N/A,"['ADVERSE REACTIONS Adverse reactions reported coincident with the administration of methocarbamol include: Body as a whole: Anaphylactic reaction, angioneurotic edema, fever, headache Cardiovascular system: Bradycardia, flushing, hypotension, syncope, thrombophlebitis Digestive system: Dyspepsia, jaundice (including cholestatic jaundice), nausea and vomiting Hemic and lymphatic system: Leukopenia Immune system: Hypersensitivity reactions Nervous system: Amnesia, confusion, diplopia, dizziness or lightheadedness, drowsiness, insomnia, mild muscular incoordination, nystagmus, sedation, seizures (including grand mal), vertigo Skin and special senses: Blurred vision, conjunctivitis, nasal congestion, metallic taste, pruritus, rash, urticaria']"
anti itch,N/A,['N/A']
NP Thyroid 120,N/A,"['ADVERSE REACTIONS: Adverse reactions other than those indicative of hyperthyroidism because of therapeutic overdosage, either initially or during the maintenance period, are rare (See OVERDOSAGE).']"
N/A,N/A,['N/A']
N/A,N/A,['N/A']
Rescue Sleep,N/A,['N/A']
Pain Reliever Extra Strength,N/A,['N/A']
N/A,N/A,['N/A']
N/A,N/A,['N/A']
N/A,N/A,"['6 ADVERSE REACTIONS The following serious adverse reactions are discussed below and elsewhere in the labeling: Bleeding [see Warnings and Precautions (5.2) ] Thrombotic thrombocytopenic purpura [see Warnings and Precautions (5.5) ] Bleeding, including life-threatening and fatal bleeding, is the most commonly reported adverse reaction. ( 6.1 ) To report SUSPECTED ADVERSE REACTIONS, contact Bristol-Myers Squibb/Sanofi Pharmaceuticals Partnership at 1-800-633-1610 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch. 6.1 Clinical Studies Experience Because clinical trials are conducted under widely varying conditions and durations of follow up, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in practice. Plavix has been evaluated for safety in more than 54,000 patients, including over 21,000 patients treated for 1 year or more. The clinically important adverse reactions observed in trials comparing Plavix plus aspirin to placebo plus aspirin and trials comparing Plavix alone to aspirin alone are discussed below. Bleeding CURE In CURE, Plavix use with aspirin was associated with an increase in major bleeding (primarily gastrointestinal and at puncture sites) compared to placebo with aspirin (see Table 1). The incidence of intracranial hemorrhage (0.1%) and fatal bleeding (0.2%) were the same in both groups. Other bleeding events that were reported more frequently in the clopidogrel group were epistaxis, hematuria, and bruise. The overall incidence of bleeding is described in Table 1. Table 1: CURE Incidence of Bleeding Complications (% patients) Event Plavix (+ aspirin) Other standard therapies were used as appropriate. Placebo (+ aspirin) p-value (n=6259) (n=6303) Major bleeding Life-threatening and other major bleeding. 3.7 Major bleeding event rate for Plavix + aspirin was dose-dependent on aspirin: <100 mg = 2.6%; 100–200 mg = 3.5%; >200 mg = 4.9% Major bleeding event rates for Plavix + aspirin by age were: <65 years = 2.5%, ≥65 to <75 years = 4.1%, ≥75 years = 5.9% 2.7 Major bleeding event rate for placebo + aspirin was dose-dependent on aspirin: <100 mg = 2.0%; 100–200 mg = 2.3%; >200 mg = 4.0% Major bleeding event rates for placebo + aspirin by age were: <65 years = 2.1%, ≥65 to <75 years = 3.1%, ≥75 years = 3.6% 0.001 Life-threatening bleeding 2.2 1.8 0.13 Fatal 0.2 0.2 5 g/dL hemoglobin drop 0.9 0.9 Requiring surgical intervention 0.7 0.7 Hemorrhagic strokes 0.1 0.1 Requiring inotropes 0.5 0.5 Requiring transfusion (≥4 units) 1.2 1.0 Other major bleeding 1.6 1.0 0.005 Significantly disabling 0.4 0.3 Intraocular bleeding with significant loss of vision 0.05 0.03 Requiring 2–3 units of blood 1.3 0.9 Minor bleeding Led to interruption of study medication. 5.1 2.4 < 0.001 Ninety-two percent (92%) of the patients in the CURE study received heparin or low molecular weight heparin (LMWH), and the rate of bleeding in these patients was similar to the overall results. COMMIT In COMMIT, similar rates of major bleeding were observed in the Plavix and placebo groups, both of which also received aspirin (see Table 2). Table 2: Incidence of Bleeding Events in COMMIT (% patients) Type of bleeding Plavix (+ aspirin) (n=22961) Placebo (+ aspirin) (n=22891) p-value Major Major bleeds were cerebral bleeds or non-cerebral bleeds thought to have caused death or that required transfusion. noncerebral or cerebral bleeding The relative rate of major noncerebral or cerebral bleeding was independent of age. Event rates for Plavix + aspirin by age were: <60 years = 0.3%, ≥60 to <70 years = 0.7%, ≥70 years = 0.8%. Event rates for placebo + aspirin by age were: <60 years = 0.4%, ≥60 to <70 years = 0.6%, ≥70 years = 0.7%. 0.6 0.5 0.59 Major noncerebral 0.4 0.3 0.48 Fatal 0.2 0.2 0.90 Hemorrhagic stroke 0.2 0.2 0.91 Fatal 0.2 0.2 0.81 Other noncerebral bleeding (non-major) 3.6 3.1 0.005 Any noncerebral bleeding 3.9 3.4 0.004 CAPRIE (Plavix vs. Aspirin) In CAPRIE, gastrointestinal hemorrhage occurred at a rate of 2.0% in those taking Plavix vs. 2.7% in those taking aspirin; bleeding requiring hospitalization occurred in 0.7% and 1.1%, respectively. The incidence of intracranial hemorrhage was 0.4% for Plavix compared to 0.5% for aspirin. Other bleeding events that were reported more frequently in the Plavix group were epistaxis and hematoma. Other Adverse Events In CURE and CHARISMA, which compared Plavix plus aspirin to aspirin alone, there was no difference in the rate of adverse events (other than bleeding) between Plavix and placebo. In CAPRIE, which compared Plavix to aspirin, pruritus was more frequently reported in those taking Plavix. No other difference in the rate of adverse events (other than bleeding) was reported. 6.2 Postmarketing Experience The following adverse reactions have been identified during post-approval use of Plavix. Because these reactions are reported voluntarily from a population of an unknown size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. Blood and lymphatic system disorders : Agranulocytosis, aplastic anemia/pancytopenia, thrombotic thrombocytopenic purpura (TTP) Gastrointestinal disorders: Gastrointestinal and retroperitoneal hemorrhage with fatal outcome, colitis (including ulcerative or lymphocytic colitis), pancreatitis, stomatitis General disorders and administration site condition : Fever, hemorrhage of operative wound Hepato-biliary disorders: Acute liver failure, hepatitis (non-infectious), abnormal liver function test Immune system disorders: Hypersensitivity reactions, anaphylactoid reactions, serum sickness Musculoskeletal, connective tissue and bone disorders: Musculoskeletal bleeding, myalgia, arthralgia, arthritis Nervous system disorders : Taste disorders, fatal intracranial bleeding Eye disorders : Eye (conjunctival, ocular, retinal) bleeding Psychiatric disorders: Confusion, hallucinations Respiratory, thoracic and mediastinal disorders: Bronchospasm, interstitial pneumonitis, respiratory tract bleeding Renal and urinary disorders: Glomerulopathy, increased creatinine levels Skin and subcutaneous tissue disorders: Maculopapular or erythematous rash, urticaria, bullous dermatitis, eczema, toxic epidermal necrolysis, Stevens-Johnson syndrome, angioedema, erythema multiforme, skin bleeding, lichen planus Vascular disorders: Vasculitis, hypotension']"
N/A,N/A,['N/A']
OASIS Tears Lubricant Eye,N/A,['N/A']
N/A,N/A,"['ADVERSE REACTIONS: Infrequently, large doses of the intranasal formulations of desmopressin acetate and desmopressin acetate injection have produced transient headache, nausea, flushing and mild abdominal cramps. These symptoms have disappeared with reduction in dosage. Central Diabetes Insipidus: In long-term clinical studies in which patients with diabetes insipidus were followed for periods up to 44 months of desmopressin acetate tablet therapy, transient increases in AST (SGOT) no higher than 1.5 times the upper limit of normal were occasionally observed. Elevated AST (SGOT) returned to the normal range despite continued use of desmopressin acetate tablets. Primary Nocturnal Enuresis: The only adverse event occurring in ≥ 3% of patients in controlled clinical trials with desmopressin acetate tablets that was probably, possibly, or remotely related to study drug was headache (4% desmopressin acetate, 3% placebo). Other: The following adverse events have been reported; however, their relationship to desmopressin acetate has not been established: abnormal thinking, diarrhea, and edema-weight gain. See WARNINGS for the possibility of water intoxication and hyponatremia.']"
Polymyxin B Sulfate and Trimethoprim,N/A,"['ADVERSE REACTIONS The most frequent adverse reaction to polymyxin B sulfate and trimethoprim ophthalmic solution is local irritation consisting of increased redness, burning, stinging, and/or itching. This may occur on instillation, within 48 hours, or at any time with extended use. There are also multiple reports of hypersensitivity reactions consisting of lid edema, itching, increased redness, tearing, and/or circumocular rash. Photosensitivity has been reported in patients taking oral trimethoprim. To report SUSPECTED ADVERSE REACTIONS, contact Bausch & Lomb Incorporated at 1-800-553-5340 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch .']"
N/A,N/A,"['ADVERSE REACTIONS Adverse reactions, if they occur, are usually observed at the beginning of therapy and generally disappear on continued medication or upon decreasing the dose. In a sample of about 3,500 anxious patients, the most frequent adverse reaction to lorazepam is sedation (15.9%), followed by dizziness (6.9%), weakness (4.2%), and unsteadiness (3.4%). Less frequent adverse reactions are disorientation, depression, nausea, change in appetite, headache, sleep disturbance, agitation, dermatological symptoms, eye-function disturbance, together with various gastrointestinal symptoms and autonomic manifestations. The incidence of sedation and unsteadiness increased with age. Small decreases in blood pressure have been noted but are not clinically significant, probably being related to the relief of anxiety produced by lorazepam. Transient amnesia or memory impairment has been reported in association with the use of benzodiazepines.']"
N/A,N/A,['N/A']
N/A,N/A,"['ADVERSE REACTIONS Adverse reaction information on ipratropium bromide nasal solution 0.06% (Nasal Spray) in patients with the common cold was derived from two multicenter, vehicle-controlled clinical trials involving 1,276 patients (195 patients on ipratropium bromide nasal solution 0.03% (Nasal Spray), 352 patients on ipratropium bromide nasal solution 0.06% (Nasal Spray), 189 patients on ipratropium bromide nasal solution 0.12% (Nasal Spray), 351 patients on vehicle and 189 patients receiving no treatment). Table 1 shows adverse events reported for patients who received ipratropium bromide nasal solution 0.06% (Nasal Spray) at the recommended dose of 84 mcg per nostril, or vehicle, administered three or four times daily, where the incidence is 1% or greater in the ipratropium bromide group and higher in the ipratropium bromide group than in the vehicle group. Table 1 % of Patients with Common Cold Reporting Events * Ipratropium Bromide Nasal Solution 0.06% (Nasal Spray) Vehicle Control No. of Patients 352 351 Epistaxis † 8.2% 2.3% Nasal Dryness 4.8% 2.8% Dry Mouth/Throat 1.4% 0.3% Nasal Congestion 1.1% 0.0% This table includes adverse events for which the incidence was 1% or greater in the ipratropium bromide group and higher in the ipratropium bromide group than in the vehicle group. Epistaxis reported by 5.4% of ipratropium bromide patients and 1.4% of vehicle patients, blood-tinged nasal mucus by 2.8% of ipratropium bromide patients and 0.9% of vehicle patients. Ipratropium bromide nasal solution 0.06% (Nasal Spray) was well tolerated by most patients. The most frequently reported adverse events were transient episodes of nasal dryness or epistaxis. The majority of these adverse events (96%) were mild or moderate in nature, none was considered serious, and none resulted in hospitalization. No patient required treatment for nasal dryness, and only three patients (<1%) required treatment for epistaxis, which consisted of local application of pressure or a moisturizing agent (e.g., petroleum jelly). No patient receiving ipratropium bromide nasal solution 0.06% (Nasal Spray) was discontinued from the trial due to either nasal dryness or bleeding. Adverse events reported by less than 1% of the patients receiving ipratropium bromide nasal solution 0.06% (Nasal Spray) during the controlled clinical trials that are potentially related to ipratropium bromide’s local effects or systemic anticholinergic effects include: taste perversion, nasal burning, conjunctivitis, coughing, dizziness, hoarseness, palpitation, pharyngitis, tachycardia, thirst, tinnitus and blurred vision. No controlled trial was conducted to address the relative incidence of adverse events for three times daily versus four times daily therapy. Nasal adverse events seen in the clinical trial with seasonal allergic rhinitis (SAR) patients (see Table 2) were similar to those seen in the common cold trials. Additional events were reported at a higher rate in the SAR trial due in part to the longer duration of the trial and the inclusion of Upper Respiratory Tract Infection (URI) as an adverse event. In common cold trials, URI was the disease under study and not an adverse event. Table 2 % of Patients with SAR Reporting Events * Ipratropium Bromide Nasal Solution 0.06% (Nasal Spray) Vehicle Control No. of Patients 218 211 Epistaxis † 6.0% 3.3% Pharyngitis 5.0% 3.8% URI 5.0% 3.3% Nasal Dryness 4.6% 0.9% Headache 4.1% 0.5% Dry Mouth/Throat 4.1% 0.0% Taste Perversion 3.7% 1.4% Sinusitis 2.8% 2.8% Pain 1.8% 0.9% Diarrhea 1.8% 0.5% This table includes adverse events for which the incidence was 1% or greater in ipratropium bromide group and higher in the ipratropium bromide group than in the vehicle group. Epistaxis reported by 3.7% of ipratropium bromide patients and 2.4% of vehicle patients, blood tinged nasal mucus by 2.3% of ipratropium bromide patients and 1.9% of vehicle patients. There were no reports of allergic-type reactions in the controlled clinical common cold and SAR trials.']"
N/A,N/A,['N/A']
N/A,N/A,"['ADVERSE REACTIONS The following reactions have been reported with the use of clindamycin. Gastrointestinal: Antibiotic-associated colitis (see WARNINGS ), pseudomembranous colitis abdominal pain, nausea and vomiting. The onset of pseudomembranous colitis symptoms may occur during or after antibacterial treatment (see WARNINGS ). An unpleasant or metallic taste occasionally has been reported after intravenous administration of the higher doses of clindamycin phosphate. Hypersensitivity Reactions: Maculopapular rash and urticaria have been observed during drug therapy. Generalized mild to moderate morbilliform-like skin rashes are the most frequently reported of all adverse reactions. Rare instances of erythema multiforme, some resembling Stevens-Johnson syndrome, have been associated with clindamycin. A few cases of anaphylactoid reactions have been reported. If a hypersensitivity reaction occurs, the drug should be discontinued. The usual agents (epinephrine, corticosteroids, antihistamines) should be available for emergency treatment of serious reactions. Skin and Mucous Membranes: Pruritus, vaginitis, and rare instances of exfoliative dermatitis have been reported. (See Hypersensitivity Reactions ). Liver: Jaundice and abnormalities in liver function tests have been observed during clindamycin therapy. Renal: Although no direct relationship of clindamycin to renal damage has been established, renal dysfunction as evidenced by azotemia, oliguria, and/or proteinuria has been observed in rare instances. Hematopoietic: Transient neutropenia (leukopenia) and eosinophilia have been reported. Reports of agranulocytosis and thrombocytopenia have been made. No direct etiologic relationship to concurrent clindamycin therapy could be made in any of the foregoing. Local Reactions: Pain, induration and sterile abscess have been reported after intramuscular injection and thrombophlebitis after intravenous infusion. Reactions can be minimized or avoided by giving deep intramuscular injections and avoiding prolonged use of indwelling intravenous catheters. Musculoskeletal: Rare instances of polyarthritis have been reported. Cardiovascular: Rare instances of cardiopulmonary arrest and hypotension have been reported following too rapid intravenous administration. (See DOSAGE AND ADMINISTRATION ).']"
N/A,N/A,['N/A']
N/A,N/A,['N/A']
N/A,N/A,['N/A']
Betamethasone Dipropionate,N/A,"['6 ADVERSE REACTIONS The most common adverse reaction reported in 0.4% of adult patients is stinging. ( 6.1 ) The most common adverse reactions reported in 10% of pediatric patients are signs of skin atrophy, telangiectasia, bruising, shininess. ( 6.1 , 8.4 ) To report SUSPECTED ADVERSE REACTIONS, contact Taro Pharmaceuticals U.S.A., Inc. at 1-866-923-4914 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch. 6.1 Clinical Trials Experience Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in clinical practice. In controlled clinical trials, involving 242 adult subjects, the adverse reaction associated with the use of betamethasone dipropionate cream (augmented) reported at a frequency of 0.4% was stinging. It occurred in 1 subject. In a controlled clinical trial involving 67 pediatric subjects from 3 months to 12 years of age, the adverse reactions associated with the use of betamethasone dipropionate cream (augmented) occurred in 7 of 67 (10%) subjects. Reported reactions included signs of skin atrophy (telangiectasia, bruising, shininess). 6.2 Postmarketing Experience Because adverse reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. Postmarketing reports for local adverse reactions to topical corticosteroids may also include: burning, itching, irritation, dryness, folliculitis, acneiform eruptions, hypopigmentation, perioral dermatitis, allergic contact dermatitis, secondary infection, hypertrichosis, skin atrophy, striae, and miliaria. Hypersensitivity reactions, consisting of predominantly skin signs and symptoms, e.g., contact dermatitis, pruritus, bullous dermatitis, and erythematous rash have been reported. Ophthalmic adverse reactions of cataracts, glaucoma, increased intraocular pressure, and central serous chorioretinopathy have been reported with the use of topical corticosteroids, including topical betamethasone products.']"
N/A,N/A,"['REF HH62G02UMC www.medline.com Made in USA with US and Foreign components for Medline industries, Inc., Northfield, IL 60093 USA 1-800-MEDLINE RG17VJO']"
N/A,N/A,"['ADVERSE REACTIONS In patients taking etodolac or other NSAIDs, the most frequently reported adverse experiences occurring in approximately 1 to 10% of patients are: Gastrointestinal experiences including : abdominal pain, constipation, diarrhea, dyspepsia, flatulence, gross bleeding/perforation, heartburn, nausea, GI ulcers (gastric/duodenal), vomiting. Other events including : abnormal renal function, anemia, dizziness, edema, elevated liver enzymes, headaches, increased bleeding time, pruritis, rashes, tinnitus. Adverse-reaction information for etodolac was derived from 2,629 arthritic patients treated with etodolac in double-blind and open-label clinical trials of 4 to 320 weeks in duration and worldwide postmarketing surveillance studies. In clinical trials, most adverse reactions were mild and transient. The discontinuation rate in controlled clinical trials, because of adverse events, was up to 10% for patients treated with etodolac. New patient complaints (with an incidence greater than or equal to 1%) are listed below by body system. The incidences were determined from clinical trials involving 465 patients with osteoarthritis treated with 300 to 500 mg of etodolac b.i.d. (i.e., 600 to 1,000 mg/day). Incidence Greater Than Or Equal To 1% - Probably Causally Related Body as a whole - Chills and fever. Digestive system - Dyspepsia (10%), abdominal pain*, diarrhea*, flatulence*, nausea*, constipation, gastritis, melena, vomiting. Nervous system - Asthenia/malaise*, dizziness*, depression, nervousness. Skin and appendages - Pruritus, rash. Special senses - Blurred vision, tinnitus. Urogenital system - Dysuria, urinary frequency. * Drug-related patient complaints occurring in 3 to 9% of patients treated with etodolac. Drug-related patient-complaints occurring in fewer than 3%, but more than 1%, are unmarked. Incidence Less Than 1% - Probably Causally Related (Adverse reactions reported only in worldwide postmarketing experience, not seen in clinical trials, are considered rarer and are italicized.) Body as a whole - Allergic reaction, anaphylactic/anaphylactoid reactions (including shock). Cardiovascular system - Hypertension, congestive heart failure, flushing, palpitations, syncope, vasculitis (including necrotizing and allergic). Digestive system - Thirst, dry mouth, ulcerative stomatitis, anorexia, eructation, elevated liver enzymes, cholestatic hepatitis, hepatitis, cholestatic jaundice, duodenitis, jaundice, hepatic failure, liver necrosis, peptic ulcer with or without bleeding and/or perforation , intestinal ulceration, pancreatitis. Hemic and lymphatic system - Ecchymosis, anemia, thrombocytopenia, bleeding time increased, agranulocytosis, hemolytic anemia, leukopenia, neutropenia, pancytopenia. Metabolic and nutritional - Edema, serum creatinine increase, hyperglycemia in previously controlled diabetic patients. Nervous system - Insomnia, somnolence. Respiratory system - Asthma, pulmonary infiltration with eosinophilia. Skin and appendages - Angioedema, sweating, urticaria, vesiculobullous rash, cutaneous vasculitis with purpura, Stevens-Johnson Syndrome, toxic epidermal necrolysis , hyperpigmentation , erythema multiforme. Special senses - Photophobia, transient visual disturbances. Urogenital system - Elevated BUN, renal failure, renal insufficiency, renal papillary necrosis. Incidence Less Than 1% - Causal Relationship Unknown (Medical events occurring under circumstances where causal relationship to etodolac is uncertain. These reactions are listed as alerting information for physicians.) Body as a whole - Infection, headache. Cardiovascular system - Arrhythmias, myocardial infarction, cerebrovascular accident. Digestive system - Esophagitis with or without stricture or cardiospasm, colitis. Metabolic and nutritional - Change in weight. Nervous system - Paresthesia, confusion. Respiratory system - Bronchitis, dyspnea, pharyngitis, rhinitis, sinusitis. Skin and appendages - Alopecia, maculopapular rash, photosensitivity, skin peeling. Special senses - Conjunctivitis, deafness, taste perversion. Urogenital system - Cystitis, hematuria, leukorrhea, renal calculus, interstitial nephritis, uterine bleeding irregularities. Additional Adverse Reactions Reported with NSAIDS Body as a whole - Sepsis, death Cardiovascular system - Tachycardia Digestive system - Gastric ulcers, gastritis, gastrointestinal bleeding, glossitis, hematemesis Hemic and lymphatic system - Lymphadenopathy Nervous system - Anxiety, dream abnormalities, convulsions, coma, hallucinations, meningitis, tremors, vertigo Respiratory system - Respiratory depression, pneumonia Urogenital system - Oliguria/polyuria, proteinuria']"
Lights Povindone Iodine Scrub,N/A,['N/A']
